"Signature"	"HR"	"low"	"high"	"pval"
"Signature"	"0.718678027954899"	"0.571502435377907"	"0.903754867682423"	"0.00472006428266273"
"SignatureGroupMeanLow"	"1.99585729103574"	"1.24546746273101"	"3.19835438931963"	"0.00407469006264151"
"SignatureGroupMedianLow"	"1.78832210399963"	"1.09506870707946"	"2.92045232137348"	"0.020185356971231"
"SignatureGroup0_33Low"	"1.57306087103062"	"0.9791756316899"	"2.52714673842218"	"0.0610739702273313"
"SignatureGroup0_66Low"	"2.42745985311068"	"1.3608932401349"	"4.32992182243483"	"0.00266821970121964"
"SignatureGroupDensityIntersectionLow"	"2.22694032166141"	"1.26250244846541"	"3.92812164623484"	"0.00569304535032773"
