"Signature"	"HR"	"low"	"high"	"pval"
"Signature"	"0.805925153792609"	"0.648290154307631"	"1.00188989328292"	"0.0520208066310198"
"SignatureGroupMeanLow"	"1.69687562225711"	"1.0932237131902"	"2.63384963449793"	"0.0184082105679873"
"SignatureGroupMedianLow"	"1.67728691682384"	"1.06647707709234"	"2.63792955495923"	"0.0251857348379704"
"SignatureGroup0_33Low"	"1.29823183852932"	"0.821507576605504"	"2.05160117151369"	"0.263622321598959"
"SignatureGroup0_66Low"	"2.22124559383925"	"1.31819520491719"	"3.7429448762562"	"0.00272074632919382"
"SignatureGroupDensityIntersectionLow"	"2.08148882187947"	"1.2438418594895"	"3.48323678171385"	"0.00526113913894906"
